x,y,count,name
118.834276,31.951501,1,新东新品之源(上元大街店)
118.808869,31.929670,1,喝丢一只鞋(江宁店)
118.822048,31.944349,1,N多寿司(同曦假日百货店)
118.822104,31.943513,1,鲜道寿司(同曦店)
118.785568,31.943209,1,味莱空间美食广场(托乐嘉店)
118.828239,31.969198,1,剑无悔霸气牛杂煲
118.847992,31.954224,1,南北和自助火锅(江宁店)
118.843808,31.954529,1,回味鸭血粉丝汤(上元大街店)
118.854793,31.949774,1,肯德基(金宝DT店)
118.843267,31.955235,1,羊乐锅(万达店)
118.802789,31.943994,1,九日东北烩(胜太西路店)
118.785296,31.944033,1,大板牙烧烤
118.818785,31.961928,1,李家水浒烤肉火锅(南方花园店)
118.818506,31.962535,1,新膳坊养生时尚餐厅(装修中)
118.820633,31.929484,1,捞王锅物料理(景枫广场店)
118.834276,31.951501,1,新东新品之源(上元大街店)
118.808869,31.929670,1,喝丢一只鞋(江宁店)
118.822048,31.944349,1,N多寿司(同曦假日百货店)
118.822104,31.943513,1,鲜道寿司(同曦店)
118.785568,31.943209,1,味莱空间美食广场(托乐嘉店)
118.828239,31.969198,1,剑无悔霸气牛杂煲
118.847992,31.954224,1,南北和自助火锅(江宁店)
118.843808,31.954529,1,回味鸭血粉丝汤(上元大街店)
118.854793,31.949774,1,肯德基(金宝DT店)
118.843267,31.955235,1,羊乐锅(万达店)
118.802789,31.943994,1,九日东北烩(胜太西路店)
118.785296,31.944033,1,大板牙烧烤
118.818785,31.961928,1,李家水浒烤肉火锅(南方花园店)
118.818506,31.962535,1,新膳坊养生时尚餐厅(装修中)
118.820633,31.929484,1,捞王锅物料理(景枫广场店)
118.813636,31.944626,1,川嫂鲜活鱼馆(胜太路店)
118.829760,31.973522,1,清真西北牛肉拉面(金盛路店)
118.843904,31.950806,1,贤合庄火锅(万达店)
118.843217,31.952295,1,麦当劳(万达广场)
118.820683,31.932174,1,鱼四季(金鹰天地广场)
118.820178,31.932640,1,大渝火锅(金鹰天地广场)
118.819618,31.967930,1,天赢烧烤
118.842745,31.950815,1,长寿村韩国料理(江宁万达店)
118.818430,31.942038,1,银城皇冠假日酒店L咖啡自助餐厅
118.822142,31.943911,1,胡大酸菜鱼(同曦店)
118.851882,31.947296,1,肯德基(金箔店)
118.823195,31.969773,1,屋头串串(金盛路店)
118.842781,31.952044,1,外婆家(万达广场)
118.842653,31.938486,1,猫抓烤肉
118.818355,31.945435,1,桃花扇花园餐厅
118.820247,31.932165,1,电台巷火锅(江宁金鹰直营店)
118.820570,31.930454,1,尚一汤广东炖汤(景枫店)
118.820189,31.929912,1,和府捞面(景枫店)
118.843065,31.950907,1,江南里(万达广场)
118.820196,31.929918,1,虹料理自助餐厅
118.843614,31.952310,1,鱼无双(万达广场)
118.815919,31.951682,1,地锅传奇(挹淮街店)
118.821841,31.944149,1,奶酪时光休闲餐厅(同曦假日百货)
118.786972,31.935516,1,老乡鸡(将军大道店)
118.819597,31.930443,1,今日炊牛·潮汕牛肉火锅(景枫店)
118.861046,31.968477,1,金丽小镇北京烤鸭(宏运大道店)
118.785012,31.943536,1,成都印象牛油火锅(托乐嘉店)
118.822230,31.943800,1,熊井丼烧肉饭(江宁同曦店)
118.845395,31.941251,1,福州人铭小吃
118.788751,31.943432,1,雾都重庆老火锅(南航后街店)
118.843174,31.951949,1,半天妖烤鱼(江宁万达店)
118.785115,31.944194,1,啊臻味道米粉(托乐嘉店)
118.820549,31.930476,1,波派炸鸡(江宁景枫店)
118.833762,31.951039,1,从孝排档(招商街店)
118.845867,31.950746,1,东方宫中国兰州牛肉拉面(江宁店)
