x,y,count,name
118.835530,31.954568,1,中前社区科普活动室
118.983515,31.8785,1,梁台煦府
118.939685,31.913182,1,江宁区淳化街道双岗社区
118.774676,31.866517,1,东虹花苑东苑
118.827333,31.901091,1,保利中央公园兰台花园西苑
118.801268,31.929775,1,亚都天元居
118.600192,31.862619,1,盛江花苑7期A区
118.840597,31.927833,1,武夷绿洲沁荷苑
118.552229,31.792628,1,荷塘人家
118.943956,31.935508,1,龙山云居
118.826395,31.928922,1,紫元府
118.875505,31.966797,1,祈泽佳苑
118.893757,31.895104,1,景枫你山
118.820161,31.929894,1,景枫凤凰台
118.882546,31.992488,1,中粮鸿云1期
118.855664,31.798259,1,博恩花园4期
118.831054,31.926359,1,玲珑屿花园
118.88879,31.932657,1,保利·樾广场
118.839777,31.835542,1,欣旺花苑
118.89676,31.884527,1,世茂梦享家
118.912095,31.905556,1,南京馨缘公寓文博店
118.779825,31.931953,1,翠屏国际城金榕苑
118.930922,32.041577,1,麒麟紫荆城定林苑
118.92729,32.041922,1,麒麟紫荆城锁石苑
118.700965,31.846832,1,碧桂园湖光山色
118.788244,31.944336,1,学府公寓
118.834071,31.867948,1,翠屏·诚园南区
118.825436,31.925924,1,21世纪现代城
118.880188,31.952075,1,保利樾公馆
118.897223,32.015082,1,科创园中央公园1期
118.698795,31.881453,1,南京碧桂园
118.893283,31.881011,1,武夷名仕园
118.984376,31.857474,1,新燕公寓
118.986757,31.853271,1,河南社区文化体育活动中心
118.9779,31.867041,1,恒业花园(灵顺北路)
118.856235,31.962153,1,爱涛·尚书云邸
118.882332,31.998462,1,大里聚福城怡景园
118.876,31.957055,1,远洋绿地云峰公馆
118.938023,32.059864,1,南京锦绣花园别墅
118.884673,32.012103,1,富力城
118.809017,31.942734,1,瑞竹园
118.824897,31.940365,1,艺术家园(池田路)
118.834098,31.947592,1,明月花园(明月路)
118.852669,31.950423,1,邮电公寓(桃园路)
118.850488,31.952776,1,小里新寓
118.846689,31.924346,1,潭桥公寓
118.808789,31.934986,1,百家湖花园
118.554906,31.798155,1,新铜花苑
118.698764,31.868892,1,康居园(振容路)
118.793192,31.923109,1,江南文枢苑
118.843053,31.941139,1,骆村新寓
118.833457,31.953332,1,枫林湾花园
118.817564,31.957169,1,南方花园D组团
118.817651,31.956501,1,水岸明珠
118.873046,31.94064,1,天景山公寓欣荣苑
118.865470,31.969284,1,武夷水岸家园
118.827079,31.944801,1,鑫都公寓
118.812115,31.937345,1,佳湖绿岛
118.852528,31.961844,1,汇景居民小组活动室
118.827597,31.943369,1,天平公寓
118.861235,31.969617,1,景祥佳园·竹园
118.885489,31.959747,1,东山街道天云社区文体活动中心
118.85447,31.770093,1,百丽明珠花园
118.851359,31.77697,1,朗诗青春街区
118.846484,31.776249,1,招商依云郡
118.779999,31.825539,1,银城蓝溪郡
